Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
 09:31:34.544,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.02, -0.017, 1.007, 1.465, 2.441, 0.305, , , , , , , -0.39, 1.681, -104.952,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.023, -0.013, 0.998, 1.526, 2.441, 0.366, , , , , , , -0.385, 1.692, -104.947,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.018, -0.011, 0.993, 1.526, 2.197, 0.488, , , , , , , -0.374, 1.703, -104.947,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.018, -0.009, 0.995, 1.465, 2.075, 0.366, , , , , , , -0.368, 1.714, -104.941,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.014, -0.009, 0.995, 1.404, 2.014, 0.366, , , , , , , -0.363, 1.725, -104.941,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.012, -0.008, 0.997, 1.282, 2.136, 0.427, , , , , , , -0.357, 1.736, -104.941,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.014, -0.007, 0.997, 1.16, 2.441, 0.366, , , , , , , -0.352, 1.747, -104.936,
 09:31:34.545,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.015, -0.006, 0.993, 1.038, 2.563, 0.305, , , , , , , -0.346, 1.763, -104.936,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.015, -0.007, 0.994, 0.916, 2.625, 0.244, , , , , , , -0.341, 1.774, -104.936,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.017, -0.009, 0.997, 0.916, 2.747, 0.244, , , , , , , -0.335, 1.785, -104.936,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.022, -0.008, 0.995, 0.916, 2.808, 0.122, , , , , , , -0.33, 1.802, -104.93,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.022, -0.008, 0.993, 0.854, 2.686, 0.061, , , , , , , -0.33, 1.818, -104.93,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.024, -0.008, 0.992, 0.793, 2.563, 0, , , , , , , -0.324, 1.829, -104.93,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.022, -0.01, 0.991, 0.732, 2.258, 0, , , , , , , -0.319, 1.84, -104.93,
 09:31:34.548,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.024, -0.011, 0.992, 0.671, 2.136, 0, , , , , , , -0.319, 1.851, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.021, -0.013, 0.991, 0.671, 2.014, 0, , , , , , , -0.313, 1.862, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.021, -0.011, 0.994, 0.732, 1.953, 0.061, , , , , , , -0.313, 1.873, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.025, -0.013, 0.995, 0.854, 1.953, 0, , , , , , , -0.308, 1.884, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.024, -0.014, 0.991, 1.038, 1.77, 0.122, , , , , , , -0.302, 1.89, -104.93,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.027, -0.005, 0.984, 0.916, 1.648, 0, , , , , , , -0.297, 1.901, -104.93,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.03, -0.002, 0.98, 0.61, 1.404, -0.061, , , , , , , -0.297, 1.906, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.031, -0.003, 0.979, 0.244, 1.099, -0.061, , , , , , , -0.291, 1.917, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.026, -0.004, 0.979, 0, 0.671, 0, , , , , , , -0.297, 1.917, -104.936,
 09:31:34.549,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.022, -0.005, 0.985, -0.244, 0.488, 0, , , , , , , -0.297, 1.923, -104.936,
 09:31:34.553,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, 0, -0.006, 0.988, -0.427, 0.671, 0, , , , , , , -0.297, 1.923, -104.936,
 09:31:34.553,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, 0.012, -0.058, 1.014, -13.672, -17.578, -4.333, , , , , , , -2.098, 0.599, -104.93,
 09:31:34.553,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, 0.026, -0.054, 1.023, -12.878, -16.846, -4.578, , , , , , , -2.17, 0.511, -104.952,
 09:31:34.553,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, 0.022, -0.049, 1.029, -12.146, -15.381, -5.005, , , , , , , -2.23, 0.428, -104.974,
 09:31:34.553,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, 0.007, -0.05, 1.015, -11.658, -14.282, -5.432, , , , , , , -2.291, 0.357, -104.996,
 09:31:34.553,eb:33:2e:f9:57:b5, 2015-01-01 00:20:10.935, -0.006, -0.046, 1.001, -11.475, -14.099, -5.676, , , , , , , -2.346, 0.286, -105.024,
