ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(�/s),Angular velocity Y(�/s),Angular velocity Z(�/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(�),Angle Y(�),Angle Z(�)
01:22:09.919,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.981934,,,-0.183105,,,,,,,-3.97156,-7.78381,-125.09
01:22:09.978,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.78381,-125.107
01:22:10.013,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.981445,,,-0.183105,,,,,,,-3.97705,-7.78381,-125.118
01:22:10.045,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.982422,,,-0.244141,,,,,,,-3.97705,-7.78381,-125.123
01:22:10.078,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.982422,,,-0.244141,,,,,,,-3.97705,-7.78381,-125.134
01:22:10.156,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.981934,-0.061035,,-0.183105,,,,,,,-3.97705,-7.78381,-125.14
01:22:10.186,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97705,-7.78931,-125.145
01:22:10.211,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.982422,,0.061035,-0.183105,,,,,,,-3.97705,-7.78931,-125.151
01:22:10.243,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981445,,,-0.183105,,,,,,,-3.97705,-7.78931,-125.156
01:22:10.274,eb:33:2e:f9:57:b5,,0.119141,-0.081055,0.982422,,,-0.183105,,,,,,,-3.97705,-7.78931,-125.162
01:22:10.307,eb:33:2e:f9:57:b5,,0.118164,-0.07959,0.98291,,,-0.183105,,,,,,,-3.97705,-7.78931,-125.167
01:22:10.345,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.167
01:22:10.381,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,-0.061035,,-0.183105,,,,,,,-3.97156,-7.78931,-125.173
01:22:10.430,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.178
01:22:10.471,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.981934,,0.061035,-0.244141,,,,,,,-3.97156,-7.78931,-125.178
01:22:10.511,eb:33:2e:f9:57:b5,,0.118164,-0.079102,0.982422,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.184
01:22:10.552,eb:33:2e:f9:57:b5,,0.117676,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.184
01:22:10.606,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.982422,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.189
01:22:10.644,eb:33:2e:f9:57:b5,,0.118652,-0.07959,0.981934,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.189
01:22:10.686,eb:33:2e:f9:57:b5,,0.118164,-0.07959,0.981445,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.189
01:22:10.751,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.195
01:22:10.786,eb:33:2e:f9:57:b5,,0.118652,-0.080566,0.981934,,0.061035,-0.183105,,,,,,,-3.97156,-7.78931,-125.195
01:22:10.822,eb:33:2e:f9:57:b5,,0.118652,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.195
01:22:10.879,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981934,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.2
01:22:10.914,eb:33:2e:f9:57:b5,,0.119629,-0.080566,0.982422,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.2
01:22:10.966,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.981934,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.2
01:22:11.005,eb:33:2e:f9:57:b5,,0.119141,-0.081055,0.982422,,,-0.244141,,,,,,,-3.97156,-7.78931,-125.2
01:22:11.046,eb:33:2e:f9:57:b5,,0.119141,-0.080078,0.981445,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.206
01:22:11.065,eb:33:2e:f9:57:b5,,0.119141,-0.07959,0.98291,,,-0.183105,,,,,,,-3.97156,-7.78931,-125.206
01:22:11.127,eb:33:2e:f9:57:b5,,0.119629,-0.080078,0.982422,,0.061035,-0.244141,,,,,,,-3.97156,-7.78931,-125.206
