ime,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°)
23:46:45.686,eb:33:2e:f9:57:b5,,-1.01562,-0.092285,0.064941,,,0.183105,,,,,,,-54.1791,82.7106,18.1604
23:46:45.750,eb:33:2e:f9:57:b5,,-1.0166,-0.092773,0.06543,,,0.12207,,,,,,,-54.2065,82.7106,18.1494
23:46:45.786,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.06543,,,0.183105,,,,,,,-54.2285,82.7106,18.1439
23:46:45.807,eb:33:2e:f9:57:b5,,-1.01611,-0.092285,0.064941,,,0.12207,,,,,,,-54.234,82.7106,18.1494
23:46:45.851,eb:33:2e:f9:57:b5,,-1.0166,-0.09375,0.064941,,,0.12207,,,,,,,-54.2175,82.7106,18.1714
23:46:45.888,eb:33:2e:f9:57:b5,,-1.01611,-0.092773,0.06543,,,0.244141,,,,,,,-54.223,82.7106,18.1769
23:46:45.922,eb:33:2e:f9:57:b5,,-1.01611,-0.092773,0.06543,,,0.12207,,,,,,,-54.4537,82.6666,18.1879
23:46:45.970,eb:33:2e:f9:57:b5,,-1.01562,-0.093262,0.063965,,,0.12207,,,,,,,-54.6735,82.6337,18.2373
23:46:46.008,eb:33:2e:f9:57:b5,,-1.0166,-0.093262,0.06543,,,0.12207,,,,,,,-54.7723,82.6282,18.3087
23:46:46.045,eb:33:2e:f9:57:b5,,-1.01514,-0.092773,0.064453,,,0.12207,,,,,,,-54.7833,82.6282,18.4241
23:46:46.086,eb:33:2e:f9:57:b5,,-1.01709,-0.093262,0.064941,,,0.12207,,,,,,,-54.7778,82.6337,18.5229
