dropped,kept,corr
Acceleration X(g)_var,Acceleration X(g)_std,0.9320742804931336
Acceleration X(g)_std,Acceleration X(g)_iqr,0.9673695898564726
Acceleration X(g)_iqr,Acceleration X(g)_rms,0.9685264303899077
Acceleration X(g)_ptp,Acceleration X(g)_rms,0.9843962814722914
Acceleration X(g)_rms,Acceleration X(g)_sma,0.9957294709078015
Acceleration X(g)_total_power,Acceleration X(g)_sma,0.9205716673587419
Acceleration Y(g)_mean,Acceleration Y(g)_median,0.9804544774516614
Acceleration Y(g)_iqr,Acceleration X(g)_sma,0.9068914122330531
Acceleration Y(g)_rms,Acceleration X(g)_sma,0.9125635482554707
Acceleration Y(g)_std,Acceleration Y(g)_ptp,0.987876185067213
Acceleration Y(g)_median,Acceleration Y(g)_sma,0.9430505800699666
Acceleration Y(g)_total_power,Acceleration Y(g)_var,0.9739740332056266
Acceleration Z(g)_var,Acceleration X(g)_sma,0.9042564942986401
Acceleration Z(g)_iqr,Acceleration Z(g)_std,0.9692495158931228
Acceleration Z(g)_std,Acceleration Z(g)_rms,0.9997544606727542
Acceleration Z(g)_ptp,Acceleration Z(g)_rms,0.9902545710334602
Acceleration Z(g)_sma,Acceleration Z(g)_rms,0.9969064818802811
Acceleration Z(g)_total_power,Acceleration Z(g)_rms,0.9222168614382038
Acceleration Y(g)_ptp,Angular velocity X(°/s)_std,0.9509675609855885
Angular velocity X(°/s)_iqr,Angular velocity X(°/s)_std,0.957163801704307
Angular velocity X(°/s)_std,Angular velocity X(°/s)_rms,0.9964942653551015
Angular velocity X(°/s)_ptp,Angular velocity X(°/s)_rms,0.9777167182365427
Angular velocity X(°/s)_rms,Angular velocity X(°/s)_sma,0.9962279900800787
Angular velocity X(°/s)_total_power,Angular velocity X(°/s)_var,0.9917118220995647
Angular velocity Z(°/s)_median,Angular velocity Z(°/s)_mean,0.9159160720090583
Angular velocity Z(°/s)_std,Angular velocity Z(°/s)_iqr,0.959214603378005
Angular velocity Z(°/s)_iqr,Angular velocity Z(°/s)_rms,0.9418908127682734
Angular velocity Z(°/s)_var,Angular velocity Z(°/s)_ptp,0.9135247000056231
Angular velocity Z(°/s)_ptp,Angular velocity Z(°/s)_rms,0.9479466459828613
Angular velocity Z(°/s)_rms,Angular velocity Z(°/s)_sma,0.9936018171644893
Angular velocity X(°/s)_sma,Angle X(°)_std,0.9215200528702793
Angle X(°)_median,Angle X(°)_mean,0.962025775202658
Angle X(°)_iqr,Angle X(°)_std,0.9688596570731517
Angle X(°)_rms,Angle X(°)_std,0.9490005617729479
Angle X(°)_ptp,Angle X(°)_std,0.9856998968480989
Angle X(°)_sma,Angle X(°)_std,0.924692753202875
Angle X(°)_total_power,Angle X(°)_var,0.9669327617744472
Angle Y(°)_var,Angle Y(°)_std,0.9424095083025259
Angle Y(°)_median,Angle Y(°)_mean,0.983121554184329
Angle Y(°)_ptp,Angle Y(°)_std,0.9616513081816707
Angle Y(°)_sma,Angle Y(°)_rms,0.997242314985146
Angle Z(°)_var,Angle Z(°)_std,0.9643986591332667
Angle Z(°)_mean,Angle Z(°)_median,0.998934661339246
Angle Z(°)_iqr,Angle Z(°)_std,0.9458799936714399
Angle Z(°)_median,Angle Z(°)_rms,0.9993845494227377
Angle Z(°)_ptp,Angle Z(°)_std,0.9918726994044159
Angle Z(°)_sma,Angle Z(°)_rms,0.9996995834412912
Angle Z(°)_spec_entropy,Angle Z(°)_rms,0.9102112484450926
Angle Z(°)_total_power,Angle Z(°)_std,0.911275155890152
