,ANOVA_F,ANOVA_rank,MutualInfo,MutualInfo_rank,RF_importance,RF_rank,Perm_importance,Perm_rank,RFE_ranking,Combined_sum_rank,Combined_rank
Acceleration X(g)_sma,1706.93678319081,16,0.956547460476002,5,0.038170075790910654,8,0.0,1,3,33,1
Acceleration Y(g)_rms,1318.0515983572732,27,0.9794587629061862,3,0.06626815137797798,1,0.0,1,1,33,1
Acceleration Y(g)_sma,1144.463053518398,28,0.990702403230938,2,0.06600400707096732,2,0.0,1,3,36,3
Acceleration X(g)_rms,1673.2279073840284,19,0.9140513558361612,12,0.045931009482971435,5,0.0,1,3,40,4
Acceleration Y(g)_iqr,1745.6718590822366,15,0.954434380301149,7,0.03957008951557209,7,0.0,1,4,44,5
Acceleration Y(g)_median,883.8512661506928,31,0.992033201940592,1,0.034187144913844086,10,0.0,1,2,45,6
Acceleration Y(g)_mean,986.1651184199707,29,0.9563235654099711,6,0.027902416626634667,13,0.0,1,3,52,7
Acceleration X(g)_iqr,1504.9183818243732,23,0.9594340255186176,4,0.031766511105403156,12,0.0,1,4,54,8
Angle X(°)_std,2298.354180515082,11,0.8604684926678574,30,0.03468432955495119,9,0.0,1,3,54,8
Acceleration X(g)_std,1680.7409281058374,18,0.8828784181781002,23,0.02274072904118386,17,0.0,1,3,62,10
Acceleration X(g)_ptp,1804.450950354821,13,0.8955051515801915,18,0.02085911395636047,19,0.0,1,4,65,11
Angular velocity X(°/s)_sma,2597.031660220314,9,0.943454727699206,8,0.05888331155018906,3,0.0,1,7,68,12
Angular velocity X(°/s)_rms,3062.074235076731,6,0.9422240931790149,9,0.04503126153918483,6,0.0,1,7,69,13
Acceleration X(g)_var,563.8880897350891,34,0.8821008946849993,24,0.02458199033990422,16,0.0,1,3,78,14
Acceleration Y(g)_var,297.1120535190244,46,0.9060662808905535,16,0.024738413106402478,15,0.0,1,3,81,15
Angular velocity X(°/s)_std,2855.101828754871,8,0.927404163833206,10,0.027519871114735375,14,0.0,1,8,91,16
Acceleration Z(g)_rms,3527.010451340743,2,0.8835074612914848,22,0.002287547466308285,44,0.0,1,6,105,17
Acceleration Z(g)_sma,3220.1949702651655,4,0.9132866658318548,13,0.01700302102016171,23,0.0,1,9,110,18
Angle X(°)_ptp,2997.198649337575,7,0.8204723157286848,37,0.03214540227042583,11,0.0,1,8,114,19
Angle X(°)_rms,1565.0819988894957,20,0.8603241923656395,31,0.02046624584532196,20,0.0,1,7,119,20
Angle X(°)_sma,1418.337899697467,24,0.8663762009251592,28,0.010234780738129712,31,0.0,1,6,120,21
Acceleration Y(g)_ptp,1851.1466450688906,12,0.9080993912610613,15,0.02153979474685429,18,0.0,1,10,126,22
Angular velocity X(°/s)_ptp,3136.3794452602697,5,0.8868168554727838,19,0.013676380758510097,27,0.0,1,10,132,23
Acceleration Z(g)_std,3510.5589219634817,3,0.8761126794476188,26,0.0007523923246867259,58,0.0,1,7,135,24
Angle X(°)_var,370.3634816182215,41,0.8599926012208259,32,0.05625953931437348,4,0.0,1,8,136,25
Acceleration Z(g)_ptp,3552.5637603604546,1,0.8777743772664792,25,0.008560203510182007,32,0.0,1,10,139,26
Angle X(°)_iqr,1542.5897861539,21,0.8628005630792632,29,0.004838722950849394,38,0.0,1,8,147,27
Angular velocity X(°/s)_iqr,1800.208017646034,14,0.8850167555121062,20,0.007014375637587973,34,0.0,1,10,149,28
Acceleration X(g)_total_power,527.281896034359,37,0.8547737385107255,34,0.01042702667330813,30,0.0,1,7,149,28
Acceleration Z(g)_spec_entropy,368.0587321031056,42,0.363039470362164,71,0.006059311621322727,35,0.0,1,3,152,30
Acceleration Y(g)_std,1684.5960165047675,17,0.9111330515565976,14,0.018927353084119886,21,0.0,1,12,155,31
Acceleration Y(g)_total_power,327.58833176894757,44,0.8846997711417863,21,0.015938150808738193,26,0.0,1,9,161,32
Angular velocity X(°/s)_var,554.3528574862933,35,0.9255295992454011,11,0.01605535580529392,25,0.0,1,11,163,33
Acceleration Y(g)_spec_entropy,622.1648682221564,33,0.333194146513746,75,0.0012486860856678638,53,0.0,1,3,165,34
Angular velocity Z(°/s)_sma,219.66983210899195,54,0.544718519009608,50,0.005050937377434518,36,0.0,1,5,166,35
Angular velocity X(°/s)_total_power,540.7845449042571,36,0.8966917389868916,17,0.018382511135305295,22,0.0,1,12,178,36
Angle Y(°)_std,170.70437623561483,61,0.780550554352754,40,0.013579940708499123,28,0.0,1,8,188,37
Angular velocity Z(°/s)_rms,219.40182659529262,55,0.5395991798035937,51,0.0049259625692332784,37,0.0,1,7,191,38
Angle Y(°)_ptp,232.63670971690766,51,0.7721726140465126,42,0.011821215564787926,29,0.0,1,9,192,39
Angular velocity Z(°/s)_iqr,226.67005160467573,52,0.5071081375026174,53,0.0014752362569091899,50,0.0,1,6,192,39
Angle X(°)_total_power,355.6458205546747,43,0.8233077153143433,36,0.007977101989201677,33,0.0,1,10,193,41
Angle X(°)_mean,84.05142362404125,70,0.46558746441345655,58,0.0026986889340950477,42,0.0,1,5,196,42
Acceleration Z(g)_iqr,2418.927466664306,10,0.8576004891826361,33,0.00042685073647688246,76,0.0,1,10,200,43
Angular velocity Z(°/s)_std,175.2166775113994,60,0.47966214800209817,55,0.0004273688030264332,75,0.0,1,4,205,44
Acceleration Y(g)_skew,267.48105527142087,49,0.21600534377969338,85,0.003134336700755766,40,0.0,1,6,211,45
Angle X(°)_spec_entropy,494.63601278046673,38,0.3347904626615217,74,0.00028510311518236455,86,0.0,1,4,213,46
Acceleration Y(g)_dom_freq,298.8730387754012,45,0.306828827228937,76,0.0008068307373440077,56,0.0,1,6,214,47
Acceleration Z(g)_median,181.7203011152297,59,0.8198302890486171,38,0.001494661224779638,49,0.0,1,9,216,48
Acceleration X(g)_spec_entropy,193.8860038716551,56,0.25158928698327454,83,0.0006864637549232624,62,0.0,1,4,216,48
Acceleration Z(g)_total_power,1325.3897972772718,26,0.8510689192769008,35,0.0005990609724647925,64,0.0,1,11,217,50
Angle X(°)_median,56.224516587847866,77,0.411150122315155,65,0.0014137263816095687,51,0.0,1,5,219,51
Angular velocity X(°/s)_median,122.44456757949013,64,0.767697837789296,43,0.0023090745926868618,43,0.0,1,9,220,52
Acceleration Z(g)_var,1410.115103458801,25,0.8737928835524269,27,0.0003590817429091009,80,0.0,1,11,224,53
Acceleration X(g)_zcr,1536.362965755475,22,0.5463326132856758,49,0.0012944842306568138,52,0.0,1,12,226,54
Angular velocity Z(°/s)_mean,33.69467341006405,91,0.4716499922815134,57,0.002954438667848233,41,0.0,1,6,226,54
Angle Y(°)_spec_entropy,273.8652425111835,48,0.3371794893543536,73,0.00017830108835539764,94,0.0,1,4,230,56
Acceleration X(g)_dom_freq,182.3346333156354,58,0.4005692470737201,68,0.00024533486043703986,89,0.0,1,4,230,56
Angular velocity X(°/s)_mean,296.8324340831006,47,0.7331025997435237,45,0.0005314680075032519,68,0.0,1,9,230,56
Acceleration Z(g)_kurtosis,77.56227966211011,72,0.4122757254176972,64,0.0007507894322088013,59,0.0,1,6,232,59
Acceleration Z(g)_skew,32.5559058973868,92,0.27502787316796606,80,0.0022682867099621177,45,0.0,1,4,232,59
Acceleration X(g)_mean,183.69420996577296,57,0.5539242226990471,48,0.0021729310129187983,46,0.0,1,11,243,61
Angular velocity Z(°/s)_dom_freq,121.77441366419887,65,0.36083069490872544,72,0.00020614595055739977,92,0.0,1,4,244,62
Angle Y(°)_var,38.686805900459305,88,0.7791669230616685,41,0.01647688199309078,24,0.0,1,11,245,63
Angle Y(°)_iqr,120.5606983338576,66,0.758896530726781,44,0.0008258919408504413,55,0.0,1,10,246,64
Acceleration X(g)_skew,94.23717714473268,69,0.1373011519414109,92,0.00043502229167429693,74,0.0,1,4,250,65
Acceleration X(g)_kurtosis,134.66648063975745,63,0.40401487717138007,67,0.00047596770140377625,72,0.0,1,7,250,65
Angle X(°)_dom_freq,982.0616813915353,30,0.5382760296688636,52,0.00012708483779503703,100,0.0,1,9,252,67
Angular velocity X(°/s)_skew,111.76599688359217,68,0.16070304976686645,89,0.0007326113830214344,60,0.0,1,6,254,68
Angular velocity Z(°/s)_median,17.365144264083984,96,0.41288972555388215,63,0.0016354521475902895,48,0.0,1,7,255,69
Angular velocity Z(°/s)_ptp,135.3116125002282,62,0.45847942120130125,59,0.00040954266354457426,78,0.0,1,8,258,70
Angle Y(°)_total_power,30.830739902213793,94,0.7814108270163576,39,0.004098860098562323,39,0.0,1,11,264,71
Angle Y(°)_mean,60.44408246180686,75,0.4065184281762424,66,0.0005675332358398941,65,0.0,1,8,265,72
Angular velocity X(°/s)_kurtosis,40.94928622061371,83,0.2660635333428325,81,0.00029031853612451335,85,0.0,1,5,275,73
Angular velocity Z(°/s)_var,49.464118235292254,79,0.49179430843311334,54,0.0006947283941474064,61,0.0,1,10,275,73
Acceleration Z(g)_dom_freq,61.81454306938131,74,0.283616979348722,79,0.00016521210842697573,96,0.0,1,5,275,73
Acceleration Y(g)_kurtosis,19.88149681885511,95,0.17106231870990207,88,0.0005403941780580286,67,0.0,1,5,276,76
Angular velocity Z(°/s)_spec_entropy,11.539548176409927,100,0.23935586038548462,84,0.00022824016525134613,90,0.0,1,3,278,77
Angle Y(°)_rms,47.311669366443844,80,0.379609635438831,70,0.0005169065798934305,70,0.0,1,8,279,78
Acceleration Z(g)_mean,46.09724647675841,81,0.6329509742071133,47,0.0004935195938833716,71,0.0,1,10,280,79
Angle Y(°)_sma,57.17325659758076,76,0.39586209787498494,69,0.0005508996597352308,66,0.0,1,9,281,80
Angular velocity Z(°/s)_total_power,45.41612094475632,82,0.44913742776973753,61,0.0007670413498999676,57,0.0,1,10,281,80
Angular velocity Z(°/s)_kurtosis,2.251956832996407,110,0.13405177781178002,93,0.0011569763985869064,54,0.0,1,5,283,82
Angle X(°)_zcr,393.5421037074774,40,0.6740711742026384,46,0.00017601469707885693,95,0.0,1,12,284,83
Angle Y(°)_dom_freq,259.25015515960865,50,0.29424009532999196,78,5.787736930874549e-05,110,0.0,1,7,286,84
Angular velocity X(°/s)_spec_entropy,79.23650996128076,71,0.10940681094892524,96,0.0003148647482194743,82,0.0,1,6,286,84
Acceleration X(g)_median,15.563062585825302,98,0.4724922273685268,56,0.0020424023607015333,47,0.0,1,11,293,86
Angular velocity Z(°/s)_skew,34.05492317157328,90,0.15475364436428052,90,0.0005239827217935803,69,0.0,1,7,297,87
Angle Y(°)_median,53.06028056606376,78,0.4500805897154867,60,0.0003745800238108698,79,0.0,1,10,298,88
Acceleration Y(g)_zcr,630.6492531304483,32,0.4485707092090925,62,0.00011181070765786102,102,0.0,1,12,299,89
